VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,fdr,GWAS
Down in E2vsE3,SET,138,0.11997,0.010306,0.071098,0.045766,0.366128,Jansen et al. 2019
Down in E4vsE2,SET,685,-0.023978,-0.0045203,0.031258,0.77848,0.889691428571428,Jansen et al. 2019
Down in E4vsE3,SET,85,0.082282,0.0055551,0.091265,0.18365,0.489733333333333,Jansen et al. 2019
Down in KOvsE3,SET,209,0.072812,0.0076823,0.060299,0.11362,0.45448,Jansen et al. 2019
Up in E2vsE3,SET,207,-0.13401,-0.014072,0.058532,0.98897,0.98897,Jansen et al. 2019
Up in E4vsE2,SET,552,0.00043714,7.4253e-05,0.035244,0.49505,0.660066666666667,Jansen et al. 2019
Up in E4vsE3,SET,106,0.0071935,0.00054204,0.082358,0.4652,0.660066666666667,Jansen et al. 2019
Up in KOvsE3,SET,213,0.03244,0.003455,0.056928,0.2844,0.5688,Jansen et al. 2019
Down in E2vsE3,SET,138,0.14965,0.012904,0.074204,0.021869,0.0583173333333333,Kunkle et al. 2019
Down in E4vsE2,SET,680,0.048751,0.0091923,0.032087,0.064348,0.1029568,Kunkle et al. 2019
Down in E4vsE3,SET,85,0.27935,0.018932,0.092411,0.0012537,0.0100296,Kunkle et al. 2019
Down in KOvsE3,SET,209,0.16148,0.017103,0.06147,0.0043108,0.0172432,Kunkle et al. 2019
Up in E2vsE3,SET,204,0.094815,0.0099227,0.061249,0.060817,0.1029568,Kunkle et al. 2019
Up in E4vsE2,SET,551,0.029737,0.0050657,0.036152,0.20538,0.27384,Kunkle et al. 2019
Up in E4vsE3,SET,106,-0.021991,-0.0016634,0.084774,0.60234,0.60234,Kunkle et al. 2019
Up in KOvsE3,SET,210,0.036414,0.0038658,0.058027,0.26516,0.30304,Kunkle et al. 2019
Down in E2vsE3,SET,138,0.085636,0.0073777,0.079064,0.13938,0.55752,Bellenguez et al. 2022
Down in E4vsE2,SET,684,0.053505,0.010108,0.035135,0.063907,0.511256,Bellenguez et al. 2022
Down in E4vsE3,SET,86,-0.042268,-0.0028788,0.099464,0.66456,0.69319,Bellenguez et al. 2022
Down in KOvsE3,SET,209,-0.033585,-0.0035538,0.066514,0.69319,0.69319,Bellenguez et al. 2022
Up in E2vsE3,SET,205,0.030153,0.0031604,0.066936,0.32619,0.69319,Bellenguez et al. 2022
Up in E4vsE2,SET,550,0.0064837,0.0011025,0.038631,0.43336,0.69319,Bellenguez et al. 2022
Up in E4vsE3,SET,106,-0.032766,-0.0024761,0.088522,0.64436,0.69319,Bellenguez et al. 2022
Up in KOvsE3,SET,212,-0.0032574,-0.00034712,0.063104,0.52058,0.69319,Bellenguez et al. 2022
